TE,Clades,Rank,Species,Genome
L1MEd,Eutheria,4,"Homo_sapiens,Pan_troglodytes,Gorilla_gorilla,Pongo_abelii,Nomascus_leucogenys,Macaca_mulatta,Cebus_capucinus,Carlito_syrichta,Microcebus_murinus,Rattus_norvegicus,Mus_musculus,Oryctolagus_cuniculus,Felis_catus,Ailuropoda_melanoleuca,Equus_caballus,Tursiops_truncatus,Bos_taurus,Sus_scrofa,Myotis_lucifugus,Loxodonta_africana,Orycteropus_afer","Hg38,PanTro6,GorGor5,PonAbe3,NomLeu3,RheMac10,CebCap1,TarSyr2,MicMur3,Rn7,Mm39,OryCun2,FelCat9,AilMel1,EquCab3,TurTru2,BosTau9,SusScr11,MyoLuc2,LoxAfr3,OryAfe1"
LTR101_Mam,Eutheria,4,"Homo_sapiens,Pan_troglodytes,Gorilla_gorilla,Pongo_abelii,Nomascus_leucogenys,Macaca_mulatta,Cebus_capucinus,Carlito_syrichta,Microcebus_murinus,Rattus_norvegicus,Mus_musculus,Oryctolagus_cuniculus,Felis_catus,Ailuropoda_melanoleuca,Equus_caballus,Tursiops_truncatus,Bos_taurus,Sus_scrofa,Myotis_lucifugus,Loxodonta_africana,Orycteropus_afer","Hg38,PanTro6,GorGor5,PonAbe3,NomLeu3,RheMac10,CebCap1,TarSyr2,MicMur3,Rn7,Mm39,OryCun2,FelCat9,AilMel1,EquCab3,TurTru2,BosTau9,SusScr11,MyoLuc2,LoxAfr3,OryAfe1"
LTR40a,Eutheria,4,"Homo_sapiens,Pan_troglodytes,Gorilla_gorilla,Pongo_abelii,Nomascus_leucogenys,Macaca_mulatta,Cebus_capucinus,Carlito_syrichta,Microcebus_murinus,Rattus_norvegicus,Mus_musculus,Oryctolagus_cuniculus,Felis_catus,Ailuropoda_melanoleuca,Equus_caballus,Tursiops_truncatus,Bos_taurus,Sus_scrofa,Myotis_lucifugus,Loxodonta_africana,Orycteropus_afer","Hg38,PanTro6,GorGor5,PonAbe3,NomLeu3,RheMac10,CebCap1,TarSyr2,MicMur3,Rn7,Mm39,OryCun2,FelCat9,AilMel1,EquCab3,TurTru2,BosTau9,SusScr11,MyoLuc2,LoxAfr3,OryAfe1"
MamGypLTR2b,Eutheria,4,"Homo_sapiens,Pan_troglodytes,Gorilla_gorilla,Pongo_abelii,Nomascus_leucogenys,Macaca_mulatta,Cebus_capucinus,Carlito_syrichta,Microcebus_murinus,Rattus_norvegicus,Mus_musculus,Oryctolagus_cuniculus,Felis_catus,Ailuropoda_melanoleuca,Equus_caballus,Tursiops_truncatus,Bos_taurus,Sus_scrofa,Myotis_lucifugus,Loxodonta_africana,Orycteropus_afer","Hg38,PanTro6,GorGor5,PonAbe3,NomLeu3,RheMac10,CebCap1,TarSyr2,MicMur3,Rn7,Mm39,OryCun2,FelCat9,AilMel1,EquCab3,TurTru2,BosTau9,SusScr11,MyoLuc2,LoxAfr3,OryAfe1"
MamGypLTR3,Eutheria,4,"Homo_sapiens,Pan_troglodytes,Gorilla_gorilla,Pongo_abelii,Nomascus_leucogenys,Macaca_mulatta,Cebus_capucinus,Carlito_syrichta,Microcebus_murinus,Rattus_norvegicus,Mus_musculus,Oryctolagus_cuniculus,Felis_catus,Ailuropoda_melanoleuca,Equus_caballus,Tursiops_truncatus,Bos_taurus,Sus_scrofa,Myotis_lucifugus,Loxodonta_africana,Orycteropus_afer","Hg38,PanTro6,GorGor5,PonAbe3,NomLeu3,RheMac10,CebCap1,TarSyr2,MicMur3,Rn7,Mm39,OryCun2,FelCat9,AilMel1,EquCab3,TurTru2,BosTau9,SusScr11,MyoLuc2,LoxAfr3,OryAfe1"
MamRep38,Eutheria,4,"Homo_sapiens,Pan_troglodytes,Gorilla_gorilla,Pongo_abelii,Nomascus_leucogenys,Macaca_mulatta,Cebus_capucinus,Carlito_syrichta,Microcebus_murinus,Rattus_norvegicus,Mus_musculus,Oryctolagus_cuniculus,Felis_catus,Ailuropoda_melanoleuca,Equus_caballus,Tursiops_truncatus,Bos_taurus,Sus_scrofa,Myotis_lucifugus,Loxodonta_africana,Orycteropus_afer","Hg38,PanTro6,GorGor5,PonAbe3,NomLeu3,RheMac10,CebCap1,TarSyr2,MicMur3,Rn7,Mm39,OryCun2,FelCat9,AilMel1,EquCab3,TurTru2,BosTau9,SusScr11,MyoLuc2,LoxAfr3,OryAfe1"
MamTip3B,Eutheria,4,"Homo_sapiens,Pan_troglodytes,Gorilla_gorilla,Pongo_abelii,Nomascus_leucogenys,Macaca_mulatta,Cebus_capucinus,Carlito_syrichta,Microcebus_murinus,Rattus_norvegicus,Mus_musculus,Oryctolagus_cuniculus,Felis_catus,Ailuropoda_melanoleuca,Equus_caballus,Tursiops_truncatus,Bos_taurus,Sus_scrofa,Myotis_lucifugus,Loxodonta_africana,Orycteropus_afer","Hg38,PanTro6,GorGor5,PonAbe3,NomLeu3,RheMac10,CebCap1,TarSyr2,MicMur3,Rn7,Mm39,OryCun2,FelCat9,AilMel1,EquCab3,TurTru2,BosTau9,SusScr11,MyoLuc2,LoxAfr3,OryAfe1"
MER110A,Eutheria,4,"Homo_sapiens,Pan_troglodytes,Gorilla_gorilla,Pongo_abelii,Nomascus_leucogenys,Macaca_mulatta,Cebus_capucinus,Carlito_syrichta,Microcebus_murinus,Rattus_norvegicus,Mus_musculus,Oryctolagus_cuniculus,Felis_catus,Ailuropoda_melanoleuca,Equus_caballus,Tursiops_truncatus,Bos_taurus,Sus_scrofa,Myotis_lucifugus,Loxodonta_africana,Orycteropus_afer","Hg38,PanTro6,GorGor5,PonAbe3,NomLeu3,RheMac10,CebCap1,TarSyr2,MicMur3,Rn7,Mm39,OryCun2,FelCat9,AilMel1,EquCab3,TurTru2,BosTau9,SusScr11,MyoLuc2,LoxAfr3,OryAfe1"
MER58A,Eutheria,4,"Homo_sapiens,Pan_troglodytes,Gorilla_gorilla,Pongo_abelii,Nomascus_leucogenys,Macaca_mulatta,Cebus_capucinus,Carlito_syrichta,Microcebus_murinus,Rattus_norvegicus,Mus_musculus,Oryctolagus_cuniculus,Felis_catus,Ailuropoda_melanoleuca,Equus_caballus,Tursiops_truncatus,Bos_taurus,Sus_scrofa,Myotis_lucifugus,Loxodonta_africana,Orycteropus_afer","Hg38,PanTro6,GorGor5,PonAbe3,NomLeu3,RheMac10,CebCap1,TarSyr2,MicMur3,Rn7,Mm39,OryCun2,FelCat9,AilMel1,EquCab3,TurTru2,BosTau9,SusScr11,MyoLuc2,LoxAfr3,OryAfe1"
MER5B,Eutheria,4,"Homo_sapiens,Pan_troglodytes,Gorilla_gorilla,Pongo_abelii,Nomascus_leucogenys,Macaca_mulatta,Cebus_capucinus,Carlito_syrichta,Microcebus_murinus,Rattus_norvegicus,Mus_musculus,Oryctolagus_cuniculus,Felis_catus,Ailuropoda_melanoleuca,Equus_caballus,Tursiops_truncatus,Bos_taurus,Sus_scrofa,Myotis_lucifugus,Loxodonta_africana,Orycteropus_afer","Hg38,PanTro6,GorGor5,PonAbe3,NomLeu3,RheMac10,CebCap1,TarSyr2,MicMur3,Rn7,Mm39,OryCun2,FelCat9,AilMel1,EquCab3,TurTru2,BosTau9,SusScr11,MyoLuc2,LoxAfr3,OryAfe1"
