GeneName,GeneID,A549_Bacteria_Spn,A549_Virus_IAV,A549_Virus_RSV,A549_Virus_SARSCoV2,B_cell_Protozoa_Pf,B_cell_Virus_EBV,B_cell_Virus_HBV,Dendritic_Bacteria_Bpe,Dendritic_Bacteria_MTB,Dendritic_Bacteria_Sau,Dendritic_Protozoa_Pf,Dendritic_Virus_HBV,Liver_Virus_HBV,Macrophages_Bacteria_Lmo,Macrophages_Bacteria_MTB,Macrophages_Bacteria_NTHi,Macrophages_Bacteria_SalEn,Macrophages_Bacteria_SalTy,Macrophages_Fungi_Af,Macrophages_Virus_IAV,Macrophages_Virus_SARSCoV2,Monocyte_Bacteria_Lmo,Monocyte_Virus_RSV,PBMCs_Fungi_Af,PBMCs_Protozoa_Pf,T_cell_Virus_HBV,T_cell_Virus_HIV1,hSAEC_Virus_RSV,Huh.7_Virus_HCV
FERMT1,ENSG00000101311.17,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,Up,Up,Up,/,/,Up,Up,Up,/,/,/,/,Up,/
HAO1,ENSG00000101323.5,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/
PDYN,ENSG00000101327.9,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
CCM2L,ENSG00000101331.17,/,/,/,/,/,/,/,/,Up,Up,/,/,/,Up,/,Up,/,Up,/,/,Up,Up,/,/,/,/,/,/,/
PLCB4,ENSG00000101333.19,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,Up,Up,Up,/,/,/,Up,/,/,/,/,/,/,/
MYL9,ENSG00000101335.10,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,Up,/
HCK,ENSG00000101336.18,/,/,/,/,/,/,/,/,/,Up,Up,/,/,/,/,Up,/,Up,/,/,Up,Up,/,/,/,/,/,/,/
TM9SF4,ENSG00000101337.16,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/
TLDC2,ENSG00000101342.10,/,/,Up,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,Up,/
CRNKL1,ENSG00000101343.15,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
POFUT1,ENSG00000101346.15,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,Down,/
SAMHD1,ENSG00000101347.11,Up,/,Up,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,Up,/
PAK5,ENSG00000101349.17,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up
KIF3B,ENSG00000101350.8,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,Up,/,/,/,/,Up,Up,/,/,/,/,/,/,/
MROH8,ENSG00000101353.16,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/
NOP56,ENSG00000101361.17,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,Up,/,/,/,/,/,/,Down,Up
MANBAL,ENSG00000101363.13,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/
IDH3B,ENSG00000101365.21,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
MAPRE1,ENSG00000101367.9,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
JAG1,ENSG00000101384.12,/,/,/,/,/,/,/,Up,/,/,/,/,/,Up,/,Up,Up,Up,Up,/,Up,Down,Up,Up,/,/,/,/,Up
CDK5RAP1,ENSG00000101391.21,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/
SNTA1,ENSG00000101400.6,Down,/,/,/,/,Down,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,Up,/
OXT,ENSG00000101405.3,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
TTI1,ENSG00000101407.13,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
E2F1,ENSG00000101412.13,/,/,Down,/,/,/,/,/,/,Down,/,/,/,/,/,Down,/,/,/,/,Down,Down,/,/,/,/,/,Down,/
RPRD1B,ENSG00000101413.12,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
PXMP4,ENSG00000101417.12,/,/,Down,/,/,/,/,/,Down,Down,/,/,/,Down,/,Down,/,Down,/,/,Down,Down,/,/,/,/,/,Down,Down
CHMP4B,ENSG00000101421.4,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,Up,/,Up,/,/,/,/,/,/,/,/,/,Up,/
BPI,ENSG00000101425.14,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,Down,Down,/,/,/,/,/,/,/
CST9L,ENSG00000101435.5,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
SLC32A1,ENSG00000101438.4,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/
CST3,ENSG00000101439.9,Down,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,Up,/
ASIP,ENSG00000101440.10,/,/,Down,/,/,/,/,/,Down,/,/,/,/,/,/,Down,/,/,/,/,Down,/,/,/,/,/,/,/,/
CST4,ENSG00000101441.5,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ACTR5,ENSG00000101442.10,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,Down,/,/,/,/,/,/,/,/,/,/,Down,/
WFDC2,ENSG00000101443.18,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,Up,/,/,/,/,/,/,/,/,/,Up,/
AHCY,ENSG00000101444.13,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,Down,/,/,/,/,/,Down,/,/,/,/,/,Down,/
PPP1R16B,ENSG00000101445.10,/,/,/,/,/,/,/,/,Up,Up,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,Down,/
SPINT3,ENSG00000101446.8,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,/
FAM83D,ENSG00000101447.15,/,/,Down,/,/,/,/,/,Up,Down,/,/,/,/,/,/,/,Down,/,/,Down,/,/,/,/,/,/,Down,Down
EPPIN,ENSG00000101448.14,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
DHX35,ENSG00000101452.15,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,Down,/,/,/,/,Down,/,/,/,/,/,/,/
DNTTIP1,ENSG00000101457.13,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
MAP1LC3A,ENSG00000101460.13,/,/,Up,/,/,/,/,/,/,Up,/,/,/,Up,/,Up,/,Up,/,/,Up,Up,Up,/,/,/,/,Up,/
SYNDIG1,ENSG00000101463.6,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/
PIGU,ENSG00000101464.11,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/
TNNC2,ENSG00000101470.10,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ACOT8,ENSG00000101473.17,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/
APMAP,ENSG00000101474.12,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,/
CELF4,ENSG00000101489.20,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ZNF516,ENSG00000101493.11,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,Down,/,/,Down,/,/,/,/,/,/,/,/
CDH20,ENSG00000101542.10,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/
ADNP2,ENSG00000101544.9,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,/
RBFA,ENSG00000101546.13,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,Down,/,/,/,/,/,Down,/,/,/,/,/,Down,/
USP14,ENSG00000101557.15,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
VAPA,ENSG00000101558.14,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
METTL4,ENSG00000101574.15,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,Up,/,/,/,/,/,Up,/,/,/,/,/,/,/
LPIN2,ENSG00000101577.11,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,Down,Up,/,/,/,/,/,/
SMCHD1,ENSG00000101596.17,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,Up,/,/,/,Up,Up,/,/,/,/,/,/
MYOM1,ENSG00000101605.14,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,Down,/,Down,/,/,/,/,/,/,/,/,/,/,/
MYL12A,ENSG00000101608.13,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,Up,/
CEP76,ENSG00000101624.11,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,Down,/
ST8SIA5,ENSG00000101638.14,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,Up,Up
CEP192,ENSG00000101639.19,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,Down,Down,/,/,/,/,/,Down,/
RNMT,ENSG00000101654.18,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/
SMAD7,ENSG00000101665.10,/,/,/,/,/,/,/,/,Up,Up,Up,/,/,/,/,Up,/,Up,/,/,Up,Down,/,/,/,/,/,Up,Up
LIPG,ENSG00000101670.12,/,/,Up,/,/,/,/,/,Up,/,/,/,/,/,/,Up,/,Up,/,/,/,Up,/,/,/,/,/,Up,Down
LAMA1,ENSG00000101680.16,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,Down,Up,/,Up,/,/,/,Up,/
RNF125,ENSG00000101695.9,/,/,/,/,/,/,/,/,Down,Down,Down,/,/,Down,/,Down,/,Down,/,Down,Down,/,/,/,/,/,/,Down,Up
ANKRD12,ENSG00000101745.17,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,Up,/,/,/,/,/,/,Up
NOL4,ENSG00000101746.16,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
POLI,ENSG00000101751.11,/,/,/,/,/,/,/,/,Up,Up,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,Down,/
MIB1,ENSG00000101752.13,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/
RBBP8,ENSG00000101773.19,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,Up,Up,/,/,/,/,/,/,/,/,/,Down,/
RIOK3,ENSG00000101782.15,Up,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,Up,/,/,/,/,/,/,Up,Up
CSTF2,ENSG00000101811.15,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/
H2BW2,ENSG00000101812.15,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
MXRA5,ENSG00000101825.8,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,Up,/
VSIG1,ENSG00000101842.14,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,Down,/,/,/,/,/,/
PSMD10,ENSG00000101843.19,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ATG4A,ENSG00000101844.18,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/
STS,ENSG00000101846.9,Down,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,Down,/,/,/,/,/,/,/
TBL1X,ENSG00000101849.18,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,Down,Down,/,/,/,/,/,/,/
GPR143,ENSG00000101850.13,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/
PGRMC1,ENSG00000101856.10,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/
POLA1,ENSG00000101868.13,/,/,Down,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,Down,Down,/,/,/,/,/,Down,/
MID1,ENSG00000101871.17,Down,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,Up,/,/,/,/,Up,/,/,/,/,/,/
NKAP,ENSG00000101882.10,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
RHOXF1,ENSG00000101883.6,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
NXT2,ENSG00000101888.12,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,Up,Up,/,/,/,Up,/,/,/,/,/,/,/
GUCY2F,ENSG00000101890.5,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,Up,/,Up,/,/,/,/,/,/,/,/,/,Up,/
ATP1B4,ENSG00000101892.12,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/
MCTS2,ENSG00000101898.7,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/
ALG13,ENSG00000101901.13,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
PRPS2,ENSG00000101911.13,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,Up,/,/,/,/,Down,/
TLR8,ENSG00000101916.12,/,/,/,/,/,/,/,/,Up,Up,/,/,/,/,/,/,/,Up,Down,/,Up,Down,/,/,/,/,/,/,Up
MOSPD1,ENSG00000101928.13,/,/,Up,/,/,/,/,/,/,/,Down,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,Up
AMMECR1,ENSG00000101935.13,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,Up,/,/,/,/,/,Down,/
CHRDL1,ENSG00000101938.15,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/
WDR13,ENSG00000101940.18,Down,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/
SUV39H1,ENSG00000101945.17,/,/,Down,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,Down,/
PAGE4,ENSG00000101951.17,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
SRPX,ENSG00000101955.15,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/
GLRA2,ENSG00000101958.14,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
XIAP,ENSG00000101966.14,/,/,Up,/,/,/,/,/,/,/,Up,/,/,/,/,Up,/,Up,/,/,Up,Up,/,/,/,/,/,/,/
STAG2,ENSG00000101972.20,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,Up,/,Up,/,/,/,/,/,/,/,/,/,/,/
ATP11C,ENSG00000101974.15,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,Up,Up,/,/,/,/,/,/,/
MCF2,ENSG00000101977.22,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,Up,/,/,/,/,/,Up,/,/,/,/,/,/,/
F9,ENSG00000101981.12,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ABCD1,ENSG00000101986.12,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/
CCDC22,ENSG00000101997.13,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,Up,/
CACNA1F,ENSG00000102001.13,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up
SYP,ENSG00000102003.12,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
PLP2,ENSG00000102007.11,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,Down,/,/,/,/,/,/,/
BMX,ENSG00000102010.15,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
LUZP4,ENSG00000102021.11,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,/
PLS3,ENSG00000102024.19,/,/,/,/,/,Up,/,/,Up,/,/,/,/,/,/,Up,Up,Up,/,/,/,Up,Up,/,/,/,/,Up,/
NAA10,ENSG00000102030.16,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,Down,/,Down,/,/,/,/,/,/,/,/,/,/,/
RENBP,ENSG00000102032.13,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,Down,/,/,Up,/,/,/,/,Up
ELF4,ENSG00000102034.18,/,/,Up,/,/,/,/,/,/,Up,/,/,/,/,/,Up,Up,Up,/,/,Up,/,/,/,/,/,/,Up,/
SMARCA1,ENSG00000102038.16,Down,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,Up,/,Up,/,/,Up,Up,/,/,/,/,/,Up,/
MTMR8,ENSG00000102043.16,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ASB9,ENSG00000102048.16,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,Down,Down,/,/,/,/,/,Down,Down
ZC3H12B,ENSG00000102053.13,Up,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,Down,/,/,/,/,/,/,/,/,/,Down,/
