metric	observed	p_value
median_rho	0.41194292043555	0.000999000999000999
prop_gt_0.3	0.545808966861598	0.000999000999000999
prop_gt_0.4	0.50682261208577	0.000999000999000999
prop_gt_0.5	0.274853801169591	0.154845154845155
prop_gt_0.6	0.226120857699805	0.614385614385614
prop_gt_0.7	0.181286549707602	0.827172827172827
